Symbol,Entry,Exit,Entry_Open,Exit_Open,Return_net_%,PnL_%_of_equity_at_entry,Sessions,Weeks,Hold bucket,Reason,Exit_Rank,Exit_Score,Below_buy_price_raw,Rebought_4w,Next_Entry,Next_Entry_Open,Churn_cost_%_equity
GOOGL,2022-07-11,2022-07-18,116.89,111.58,-4.7335,-0.214,5,1,1 wk,score <= 0,,-20.2121,True,False,2023-03-20,99.18,
CVLT,2022-06-21,2022-07-18,61.08,59.67,-2.62,-0.0543,18,4,4–8 wk,score <= 0,,-11.1548,True,False,2022-11-28,65.77,
FTNT,2022-07-11,2022-07-25,62.233,61.18,-1.6613,-0.0638,10,2,2–3 wk,sector cap displacement,8.0,38.7648,True,False,2023-03-06,61.11,
NOC,2022-04-11,2022-07-25,433.62,421.71,-3.0518,-0.2087,71,14,9+ wk,score <= 0,,-4.7632,True,True,2022-08-01,449.22,0.4586
TSLA,2022-07-25,2022-08-01,272.22,301.28,10.4541,0.3218,5,1,1 wk,rank drift (score > 0),13.0,33.0076,False,True,2022-08-15,301.79,0.0122
MRK,2022-04-01,2022-08-01,71.84,78.72,2.7262,0.7351,82,16,9+ wk,rank drift (score > 0),36.0,6.7841,False,True,2022-08-22,80.9,0.2833
UNH,2022-06-27,2022-08-08,454.67,498.1,7.8925,0.6265,29,6,4–8 wk,rank drift (score > 0),19.0,29.9938,False,True,2022-08-22,499.47,0.0372
VEEV,2022-07-18,2022-08-08,204.29,229.39,11.5038,0.4831,15,3,2–3 wk,sector cap displacement,9.0,46.7292,False,False,2023-10-02,202.07,
AVAV,2022-08-01,2022-08-08,85.87,90.78,5.5067,0.2309,5,1,1 wk,rank drift (score > 0),25.0,20.071,False,True,2022-08-22,101.0,0.4973
MCK,2022-06-13,2022-08-15,303.23,356.68,13.8753,1.3521,43,9,9+ wk,rank drift (score > 0),18.0,32.3216,False,True,2022-08-22,361.68,0.1612
UI,2022-08-08,2022-08-15,305.5,306.61,0.1628,0.0083,5,1,1 wk,sector cap displacement,8.0,45.1845,False,True,2022-08-22,306.41,0.0068
ACHR,2022-08-08,2022-08-22,4.4,3.59,-19.1326,-0.5131,10,2,2–3 wk,score <= 0,,-7.1648,True,False,2023-03-06,3.1,
JOBY,2022-07-18,2022-08-22,5.4,5.55,-2.0238,0.0412,25,5,4–8 wk,rank drift (score > 0),35.0,3.457,False,False,2023-05-15,4.68,
HIMS,2022-07-05,2022-08-22,4.69,5.87,10.239,0.4486,34,7,4–8 wk,rank drift (score > 0),17.0,23.1442,False,True,2022-08-29,5.88,0.0155
CDNS,2022-07-11,2022-08-22,158.87,186.34,10.0178,0.7461,30,6,4–8 wk,sector cap displacement,8.0,46.0963,False,False,2023-02-27,195.35,
TSLA,2022-08-15,2022-08-22,301.79,291.91,-3.4671,-0.1523,5,1,1 wk,rank drift (score > 0),14.0,27.0014,True,True,2022-09-12,300.72,0.1409
GTLB,2022-08-15,2022-08-22,69.04,59.51,-13.9758,-0.403,5,1,1 wk,rank drift (score > 0),20.0,21.1803,True,True,2022-08-29,62.48,0.133
UBER,2022-08-08,2022-08-22,32.33,28.34,-12.3898,-0.5173,10,2,2–3 wk,rank drift (score > 0),19.0,22.619,True,True,2022-09-06,29.34,0.1391
ANET,2022-08-22,2022-08-29,31.88,30.33,-5.0521,-0.2034,5,1,1 wk,sector cap displacement,13.0,30.0996,True,False,2022-11-14,32.13,
UNH,2022-08-22,2022-08-29,499.47,485.27,-3.0371,-0.1865,5,1,1 wk,rank drift (score > 0),22.0,19.9704,True,True,2022-09-06,479.67,-0.0577
MRK,2022-08-22,2022-08-29,80.9,78.28,-3.4319,-0.2657,5,1,1 wk,rank drift (score > 0),28.0,11.1889,True,False,2022-10-10,79.88,
UI,2022-08-22,2022-09-06,306.41,288.89,-5.5479,-0.3425,10,2,2–3 wk,sector cap displacement,10.0,24.8396,True,True,2022-09-19,293.64,0.1108
AVAV,2022-08-22,2022-09-06,101.0,82.7,-17.2406,-0.7324,10,2,2–3 wk,rank drift (score > 0),18.0,10.0591,True,True,2022-09-12,99.94,0.7627
GTLB,2022-08-29,2022-09-06,62.48,48.93,-21.8434,-0.4849,5,1,1 wk,score <= 0,,-10.4041,True,False,2024-01-22,69.87,
