Symbol,Weight,Decision_Date,Entry_Date,Entry_Price,Close,PnL_%,Days_Held,Vol_63d_%,ATR,ATR_Stop,Dist_to_Stop_%
ANET,0.1013,2026-09-18,2026-09-21,203.47,205.7,1.096,4,55.4098,7.7784,182.3648,12.7959
FTNT,0.1283,2026-09-18,2026-09-21,170.185,178.67,4.9858,4,45.3444,6.848,158.1959,12.9422
GTLB,0.1037,2026-08-24,2026-08-25,41.93,48.62,15.9552,22,54.5794,2.083,44.0209,10.4476
HOOD,0.0775,2026-09-04,2026-09-08,125.07,120.82,-3.3981,13,73.5176,6.3592,105.1723,14.8782
MRK,0.1604,2026-09-18,2026-09-21,146.785,147.98,0.8141,4,35.3077,3.638,139.9961,5.7029
TEAM,0.0602,2026-08-07,2026-08-10,149.325,192.61,28.9871,33,94.9113,8.8506,169.1183,13.8907
TWLO,0.0905,2026-09-18,2026-09-21,247.12,299.66,21.2609,4,67.7989,12.8524,261.1028,14.7671
TEM,0.062,2026-09-16,2026-09-17,72.7,82.24,13.1224,6,92.6792,4.8004,67.8389,21.2283
RBRK,0.0793,2026-09-18,2026-09-21,107.57,113.8,5.7916,4,73.1566,5.7689,98.2633,15.8113
