Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Period,Family,Params
"B-K10: regime + 3xATR stop, max 10 @10%",2024-09-17,2025-09-16,250,10.384,10.471,0.477,0.639,-42.691,0.245,88.299,94.4,6.662,18.017,101,91,30.769,-1.566,IS,B,"as B (k=3), top-10 by score"
"B-K10: regime + 3xATR stop, max 10 @10%",2025-09-17,2026-09-24,257,22.842,22.351,0.705,0.973,-33.296,0.671,99.098,100.0,11.33,16.772,102,92,30.435,1.633,OOS,B,"as B (k=3), top-10 by score"
"B-K10: regime + 3xATR stop, max 10 @10%",2024-09-17,2026-09-24,507,36.016,16.52,0.606,0.827,-42.691,0.387,93.741,97.239,9.25,16.895,193,183,32.787,2.034,Full,B,"as B (k=3), top-10 by score"
C: top5 w_tech=0.3 regime=off,2024-09-17,2025-09-16,250,126.669,128.157,1.996,3.095,-37.216,3.444,100.0,100.0,37.118,50.077,112,107,46.729,1.246,IS,C,"N=5, w_tech=0.3, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.3 regime=off,2025-09-17,2026-09-24,257,6.001,5.881,0.341,0.468,-32.298,0.182,100.0,100.0,5.036,51.77,119,114,39.474,0.296,OOS,C,"N=5, w_tech=0.3, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.3 regime=off,2024-09-17,2026-09-24,507,137.641,53.762,1.231,1.813,-37.216,1.445,100.0,100.0,20.632,50.44,226,221,43.439,1.518,Full,C,"N=5, w_tech=0.3, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.5 regime=off,2024-09-17,2025-09-16,250,134.339,135.941,2.21,3.451,-36.326,3.742,100.0,100.0,37.779,52.728,124,119,48.739,2.297,IS,C,"N=5, w_tech=0.5, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.5 regime=off,2025-09-17,2026-09-24,257,51.149,49.939,1.354,2.097,-23.117,2.16,100.0,100.0,18.398,57.585,136,131,48.855,2.2,OOS,C,"N=5, w_tech=0.5, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.5 regime=off,2024-09-17,2026-09-24,507,250.32,86.475,1.801,2.8,-36.326,2.381,100.0,100.0,27.731,54.694,255,250,49.2,2.916,Full,C,"N=5, w_tech=0.5, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.7 regime=off,2024-09-17,2025-09-16,250,116.967,118.316,2.027,3.184,-40.277,2.938,99.618,100.0,34.82,59.882,144,139,50.36,2.678,IS,C,"N=5, w_tech=0.7, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.7 regime=off,2025-09-17,2026-09-24,257,77.932,75.948,1.901,3.022,-14.281,5.318,100.0,100.0,24.534,62.314,154,149,53.02,2.434,OOS,C,"N=5, w_tech=0.7, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.7 regime=off,2024-09-17,2026-09-24,507,281.815,94.628,1.942,3.057,-40.277,2.349,99.811,100.0,29.372,60.618,293,288,52.083,2.64,Full,C,"N=5, w_tech=0.7, regime=False, sector cap 40%, inv-vol"
C: top5 w_tech=0.3 regime=on,2024-09-17,2025-09-16,250,113.054,114.347,1.913,2.967,-34.16,3.347,94.576,100.0,36.308,45.254,98,93,46.237,1.018,IS,C,"N=5, w_tech=0.3, regime=True, sector cap 40%, inv-vol"
C: top5 w_tech=0.3 regime=on,2025-09-17,2026-09-24,257,-2.889,-2.833,0.107,0.147,-33.1,-0.086,99.302,100.0,1.582,49.742,115,110,38.182,-0.104,OOS,C,"N=5, w_tech=0.3, regime=True, sector cap 40%, inv-vol"
C: top5 w_tech=0.3 regime=on,2024-09-17,2026-09-24,507,104.635,42.748,1.07,1.573,-34.16,1.251,96.972,100.0,18.052,47.033,208,203,42.365,1.24,Full,C,"N=5, w_tech=0.3, regime=True, sector cap 40%, inv-vol"
C: top5 w_tech=0.5 regime=on,2024-09-17,2025-09-16,250,117.911,119.273,2.114,3.302,-34.371,3.47,90.649,100.0,38.109,48.124,109,104,48.077,2.133,IS,C,"N=5, w_tech=0.5, regime=True, sector cap 40%, inv-vol"
C: top5 w_tech=0.5 regime=on,2025-09-17,2026-09-24,257,39.914,39.003,1.14,1.766,-23.117,1.687,99.302,100.0,15.451,54.668,129,124,47.581,1.903,OOS,C,"N=5, w_tech=0.5, regime=True, sector cap 40%, inv-vol"
C: top5 w_tech=0.5 regime=on,2024-09-17,2026-09-24,507,201.547,73.085,1.647,2.56,-34.371,2.126,95.035,100.0,25.873,50.946,233,228,48.246,2.743,Full,C,"N=5, w_tech=0.5, regime=True, sector cap 40%, inv-vol"
C: top5 w_tech=0.7 regime=on,2024-09-17,2025-09-16,250,118.095,119.46,2.113,3.355,-34.719,3.441,90.25,100.0,38.316,55.306,129,124,51.613,3.05,IS,C,"N=5, w_tech=0.7, regime=True, sector cap 40%, inv-vol"
