Strategy,Total Return %,CAGR %,Sharpe,Max DD %,Never-seen Sharpe,Last 1y %,Last 2y %,Never-seen Max DD %,Turnover x/yr,Trades,"Win Rate % (closed, net)",Avg emerging-tech names held,2022 %,2023 %,2024 %,2025 %,2026 %,Note,P(Sharpe > U91),P(Sharpe > 78)
QQQ buy & hold,110.103,18.111,0.846,-29.073,0.607,24.909,54.232,,,,,,,,,,,,,
SPY buy & hold,79.585,14.027,0.853,-21.285,0.668,17.304,37.391,,,,,,,,,,,,,
C6 cap 4 | 78 | RS etf,451.784,46.657,1.471,-28.584,0.924,27.166,220.939,-22.325,39.788,848.0,46.062,,-4.619,32.334,142.025,62.965,10.836,,,
C6 cap 4 | U91 | RS etf,410.343,44.113,1.451,-31.275,0.72,46.401,242.852,-23.855,43.522,935.0,47.027,,-8.497,19.28,136.779,59.08,24.137,,,
C6 cap 4 | U96 | RS etf,390.552,42.84,1.396,-32.609,0.664,46.952,237.634,-24.781,44.042,950.0,47.553,0.508,-8.643,18.132,126.257,77.402,13.245,hindsight-flattered: CRDO NBIS LITE CLS RBRK picked 2026-09-24 after big run-ups,0.268,0.36
